[999, 0]
[998, 0]
[997, 0]
[996, 0]
[995, 0]
[994, 0]
[993, 0]
[992, 0]
[991, 0]
[990, 0]
[989, 0]
[988, 0]
[987, 0]
[986, 0]
[985, 0]
[984, 0]
[983, 0]
[982, 0]
[981, 0]
[980, 0]
[979, 0]
[978, 0]
[977, 0]
[976, 0]
[975, 0]
[974, 0]
[973, 0]
[972, 0]
[971, 0]
[970, 0]
[969, 0]
[968, 0]
[967, 0]
[966, 0]
[965, 0]
[964, 0]
[963, 0]
[962, 0]
[961, 0]
[960, 0]
[959, 0]
[958, 0]
[957, 0]
[956, 0]
[955, 0]
[954, 0]
[953, 0]
[952, 0]
[951, 0]
[950, 0]
[949, 0]
[948, 0]
[947, 0]
[946, 0]
[945, 0]
[944, 0]
[943, 0]
[942, 0]
[941, 0]
[940, 0]
[939, 0]
[938, 0]
[937, 0]
[936, 0]
[935, 0]
[934, 0]
[933, 0]
[932, 0]
[931, 0]
[930, 0]
[929, 0]
[928, 0]
[927, 0]
[926, 0]
[925, 0]
[924, 0]
[923, 0]
[922, 0]
[921, 0]
[920, 0]
[919, 0]
[918, 0]
[917, 0]
[916, 0]
[915, 0]
[914, 0]
[913, 0]
[912, 0]
[911, 0]
[910, 0]
[909, 0]
[908, 0]
[907, 0]
[906, 0]
[905, 0]
[904, 0]
[903, 0]
[902, 0]
[901, 0]
[900, 0]
[899, 0]
[898, 0]
[897, 0]
[896, 0]
[895, 0]
[894, 0]
[893, 0]
[892, 0]
[891, 0]
[890, 0]
[889, 0]
[888, 0]
[887, 0]
[886, 0]
[885, 0]
[884, 0]
[883, 0]
[882, 0]
[881, 0]
[880, 0]
[879, 0]
[878, 0]
[877, 0]
[876, 0]
[875, 0]
[874, 0]
[873, 0]
[872, 0]
[871, 0]
[870, 0]
[869, 0]
[868, 0]
[867, 0]
[866, 0]
[865, 0]
[864, 0]
[863, 0]
[862, 0]
[861, 0]
[860, 0]
[859, 0]
[858, 0]
[857, 0]
[856, 0]
[855, 0]
[854, 0]
[853, 0]
[852, 0]
[851, 0]
[850, 0]
[849, 0]
[848, 0]
[847, 0]
[846, 0]
[845, 0]
[845, 1]
[844, 1]
[843, 1]
[842, 1]
[841, 1]
[840, 1]
[839, 1]
[838, 1]
[837, 1]
[836, 1]
[835, 1]
[834, 1]
[833, 1]
[832, 1]
[831, 1]
[830, 1]
[829, 1]
[828, 1]
[827, 1]
[826, 1]
[825, 1]
[824, 1]
[823, 1]
[822, 1]
[821, 1]
[820, 1]
[819, 1]
[818, 1]
[817, 1]
[816, 1]
[815, 1]
[814, 1]
[813, 1]
[812, 1]
[811, 1]
[810, 1]
[809, 1]
[808, 1]
[807, 1]
[806, 1]
[805, 1]
[804, 1]
[803, 1]
[802, 1]
[801, 1]
[800, 1]
[799, 1]
[798, 1]
[797, 1]
[796, 1]
[795, 1]
[794, 1]
[793, 1]
[792, 1]
[791, 1]
[790, 1]
[789, 1]
[788, 1]
[787, 1]
[786, 1]
[785, 1]
[784, 1]
[783, 1]
[782, 1]
[781, 1]
[780, 1]
[779, 1]
[778, 1]
[777, 1]
[776, 1]
[775, 1]
[774, 1]
[773, 1]
[772, 1]
[771, 1]
[770, 1]
[769, 1]
[768, 1]
[767, 1]
[766, 1]
[765, 1]
[764, 1]
[763, 1]
[762, 1]
[761, 1]
[760, 1]
[759, 1]
[758, 1]
[757, 1]
[756, 1]
[755, 1]
[754, 1]
[753, 1]
[752, 1]
[751, 1]
[750, 1]
[749, 1]
[748, 1]
[747, 1]
[746, 1]
[745, 1]
[744, 1]
[743, 1]
[742, 1]
[741, 1]
[740, 1]
[739, 1]
[738, 1]
[737, 1]
[736, 1]
[735, 1]
[734, 1]
[733, 1]
[732, 1]
[731, 1]
[730, 1]
[729, 1]
[728, 1]
[727, 1]
[726, 1]
[725, 1]
[724, 1]
[723, 1]
[722, 1]
[721, 1]
[720, 1]
[719, 1]
[718, 1]
[717, 1]
[716, 1]
[715, 1]
[714, 1]
[713, 1]
[712, 1]
[711, 1]
[710, 1]
[709, 1]
[708, 1]
[707, 1]
[706, 1]
[705, 1]
[704, 1]
[703, 1]
[702, 1]
[701, 1]
[700, 1]
[699, 1]
[698, 1]
[697, 1]
[696, 1]
[695, 1]
[694, 1]
[693, 1]
[692, 1]
[691, 1]
[690, 1]
[689, 1]
[688, 1]
[687, 1]
[686, 1]
[685, 1]
[684, 1]
[683, 1]
[682, 1]
[681, 1]
[680, 1]
[679, 1]
[678, 1]
[677, 1]
[676, 1]
[675, 1]
[674, 1]
[673, 1]
[672, 1]
[671, 1]
[670, 1]
[669, 1]
[668, 1]
[667, 1]
[666, 1]
[665, 1]
[664, 1]
[663, 1]
[662, 1]
[661, 1]
[660, 1]
[659, 1]
[658, 1]
[657, 1]
[656, 1]
[655, 1]
[654, 1]
[653, 1]
[652, 1]
[651, 1]
[650, 1]
[649, 1]
[648, 1]
[647, 1]
[646, 1]
[645, 1]
[644, 1]
[643, 1]
[642, 1]
[641, 1]
[640, 1]
[639, 1]
[638, 1]
[637, 1]
[636, 1]
[635, 1]
[634, 1]
[633, 1]
[632, 1]
[631, 1]
[630, 1]
[629, 1]
[628, 1]
[627, 1]
[626, 1]
[625, 1]
[624, 1]
[623, 1]
[622, 1]
[621, 1]
[620, 1]
[619, 1]
[618, 1]
[617, 1]
[616, 1]
[615, 1]
[614, 1]
[613, 1]
[612, 1]
[611, 1]
[610, 1]
[609, 1]
[608, 1]
[607, 1]
[606, 1]
[605, 1]
[604, 1]
[603, 1]
[602, 1]
[601, 1]
[600, 1]
[599, 1]
[598, 1]
[597, 1]
[596, 1]
[595, 1]
[594, 1]
[593, 1]
[592, 1]
[591, 1]
[590, 1]
[589, 1]
[588, 1]
[587, 1]
[586, 1]
[585, 1]
[584, 1]
[583, 1]
[582, 1]
[581, 1]
[580, 1]
[579, 1]
[578, 1]
[577, 1]
[576, 1]
[575, 1]
[574, 1]
[573, 1]
[572, 1]
[571, 1]
[570, 1]
[569, 1]
[568, 1]
[567, 1]
[566, 1]
[565, 1]
[564, 1]
[563, 1]
[562, 1]
[561, 1]
[560, 1]
[559, 1]
[558, 1]
[557, 1]
[556, 1]
[555, 1]
[554, 1]
[553, 1]
[552, 1]
[551, 1]
[550, 1]
[549, 1]
[548, 1]
[547, 1]
[546, 1]
[545, 1]
[544, 1]
[543, 1]
[542, 1]
[541, 1]
[540, 1]
[539, 1]
[538, 1]
[537, 1]
[536, 1]
[535, 1]
[534, 1]
[533, 1]
[532, 1]
[531, 1]
[530, 1]
[529, 1]
[528, 1]
[527, 1]
[526, 1]
[525, 1]
[524, 1]
[523, 1]
[522, 1]
[521, 1]
[520, 1]
[519, 1]
[518, 1]
[517, 1]
[516, 1]
[515, 1]
[514, 1]
[513, 1]
[512, 1]
[511, 1]
[510, 1]
[509, 1]
[508, 1]
[507, 1]
[506, 1]
[505, 1]
[504, 1]
[503, 1]
[502, 1]
[501, 1]
[500, 1]
[499, 1]
[498, 1]
[497, 1]
[496, 1]
[495, 1]
[494, 1]
[493, 1]
[492, 1]
[491, 1]
[490, 1]
[489, 1]
[488, 1]
[487, 1]
[486, 1]
[485, 1]
[484, 1]
[483, 1]
[482, 1]
[481, 1]
[480, 1]
[479, 1]
[478, 1]
[477, 1]
[476, 1]
[475, 1]
[474, 1]
[473, 1]
[472, 1]
[471, 1]
[470, 1]
[469, 1]
[468, 1]
[467, 1]
[466, 1]
[465, 1]
[464, 1]
[463, 1]
[462, 1]
[461, 1]
[460, 1]
[459, 1]
[458, 1]
[457, 1]
[456, 1]
[455, 1]
[454, 1]
[453, 1]
[452, 1]
[451, 1]
[450, 1]
[449, 1]
[448, 1]
[447, 1]
[446, 1]
[445, 1]
[444, 1]
[443, 1]
[442, 1]
[441, 1]
[440, 1]
[439, 1]
[438, 1]
[437, 1]
[436, 1]
[435, 1]
[434, 1]
[433, 1]
[432, 1]
[431, 1]
[430, 1]
[429, 1]
[428, 1]
[427, 1]
[426, 1]
[425, 1]
[424, 1]
[424, 2]
[423, 2]
